POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
正晴和(黑龙江路店),鼓楼区,黑龙江路33号,118.772527,32.087611,餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,餐饮
五谷屯南京菜(紫金路店),秦淮区,紫金路天地花园9栋,118.832329,32.024234,餐饮服务;中餐厅;中餐厅,餐饮
柳柳家乡菜(汤山店),江宁区,汤泉东路277号(汤山地铁站2号口步行120米),119.067649,32.049724,餐饮服务;中餐厅;中餐厅,餐饮
刘家大院(珠江路店),玄武区,洪武北路红庙9号,118.790407,32.047476,餐饮服务;中餐厅;中餐厅,餐饮
金中鸭血粉丝汤(福建路店),鼓楼区,萨家湾小区南门东南50米,118.761711,32.08229,餐饮服务;中餐厅;中餐厅,餐饮
南京金茂威斯汀大酒店,鼓楼区,中央路201号(玄武门地铁站出入口步行160米),118.783388,32.072093,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
曙光国际大酒店,玄武区,龙蟠路107号,118.794075,32.08739,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
金陵饭店,鼓楼区,汉中路2号金陵饭店大堂1-3号,118.782869,32.042406,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
地地道道东北烤肉烤串(新世界百货珠江路创业大街店),玄武区,珠江路汇文里3号(珠江路地铁站4号口步行360米),118.786443,32.049197,餐饮服务;餐饮相关场所;餐饮相关,餐饮
张家小院,栖霞区,迈皋桥街道合作村91号(弘阳家具1号门对面),118.834733,32.11494,餐饮服务;中餐厅;中餐厅,餐饮
新桥方记猪蹄(南京夫子庙秦淮风光带店),秦淮区,长乐路14号(三山街地铁站4号口步行370米),118.781168,32.019154,餐饮服务;中餐厅;中餐厅,餐饮
张家小院,栖霞区,迈皋桥街道合作村91号(弘阳家具1号门对面),118.834733,32.11494,餐饮服务;中餐厅;中餐厅,餐饮
新桥方记猪蹄(南京夫子庙秦淮风光带店),秦淮区,长乐路14号(三山街地铁站4号口步行370米),118.781168,32.019154,餐饮服务;中餐厅;中餐厅,餐饮
海鸿荟·沿江菜,鼓楼区,中山北路453号,118.748233,32.085854,餐饮服务;中餐厅;江苏菜,餐饮
泓润湘菜馆(夫子庙店),秦淮区,许家巷39号(三山街地铁站4号口步行240米),118.782172,32.020407,餐饮服务;中餐厅;湖南菜(湘菜),餐饮
五季随园,鼓楼区,汉中路282号(南京中医药大学汉中门校区35号楼),118.76808,32.043283,餐饮服务;中餐厅;中餐厅,餐饮
刘姨鸭血粉丝店,玄武区,百子亭18-20号,118.786053,32.065537,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
都市里的乡村(青云巷24号院店),鼓楼区,青云巷26-1号,118.779792,32.066336,餐饮服务;中餐厅;中餐厅,餐饮
云南李记罐罐米线饵丝小吃(汉中门金鹰店),建邺区,[],118.762306,32.040153,餐饮服务;中餐厅;云贵菜,餐饮
披萨大叔,鼓楼区,宁海路街道汉口西路22号上海路菜场53号,118.772985,32.055066,餐饮服务;快餐厅;快餐厅,餐饮
海兰家老鹅馆(华侨城店),浦口区,大桥北路华侨城302栋101(小区西大门对面华侨城菜场旁),118.726851,32.128071,餐饮服务;中餐厅;中餐厅,餐饮
鲜满堂米线(珠江路店),玄武区,未来城A2座珠江路488号107室鲜满堂米线,118.798223,32.047841,餐饮服务;中餐厅;中餐厅,餐饮
鑫王府家常菜,秦淮区,火瓦巷22号(常府街地铁站1号口步行380米),118.789266,32.031555,餐饮服务;中餐厅;综合酒楼,餐饮
后记美女龙虾,秦淮区,双塘路87号,118.77183,32.023678,餐饮服务;中餐厅;海鲜酒楼,餐饮
刘家土菜馆(高淳老街店),高淳区,淳溪镇高淳老街迎薰门3-5号(美食一条街),118.868719,31.319289,餐饮服务;中餐厅;中餐厅,餐饮
原味楼(兴业大厦店),秦淮区,户部街15号兴业大厦1-2楼(紫金大剧院对面),118.790851,32.034845,餐饮服务;中餐厅;综合酒楼,餐饮
清凉门大街68号(陈年味道私房菜),鼓楼区,清凉门大街68号,118.746482,32.046636,餐饮服务;中餐厅;中餐厅,餐饮
二子锅贴(郑和南路),鼓楼区,新河一村5号附3-5,118.73518,32.069181,餐饮服务;中餐厅;中餐厅,餐饮
肥羊烧烤龙虾(燕江路店),鼓楼区,金陵村40号-47金燕路燕江路路口,118.765571,32.111867,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
老南京私房菜(麒麟门店),江宁区,麒麟街道悦民路28号(55公交车路底站对面),118.924856,32.0502,餐饮服务;中餐厅;中餐厅,餐饮
金闰发面馆,栖霞区,东城世家6幢,118.883708,32.125992,餐饮服务;中餐厅;中餐厅,餐饮
南京儿童医院河西院区,建邺区,江东南路8号,118.706892,31.98275,医疗保健服务;专科医院;专科医院|医疗保健服务;综合医院;三级甲等医院,医院
中国医学科学院皮肤病医院,玄武区,蒋王庙街12号,118.827386,32.081093,医疗保健服务;专科医院;专科医院,医院
南京市妇幼保健院,秦淮区,莫愁路天妃巷123号(上海路地铁站1号口步行300米),118.776805,32.040101,医疗保健服务;专科医院;专科医院,医院
南京市中医院大明路院区,秦淮区,大明路157号,118.807803,31.995463,医疗保健服务;综合医院;三级甲等医院,医院
南京市口腔医院本部,玄武区,玄武门街道中央路30(鼓楼地铁站4B口步行220米),118.784722,32.061554,医疗保健服务;专科医院;口腔医院,医院
江苏省口腔医院,鼓楼区,上海路1号(上海路地铁站2号口步行240米),118.775761,32.043903,医疗保健服务;专科医院;口腔医院,医院
江苏省人民医院,鼓楼区,广州路300号,118.766276,32.049208,医疗保健服务;综合医院;三级甲等医院,医院
明基医院,建邺区,河西大街73号,118.728964,31.987081,医疗保健服务;综合医院;三级甲等医院,医院
南京鼓楼医院,鼓楼区,中山路321号,118.783042,32.05618,医疗保健服务;综合医院;三级甲等医院,医院
江苏省妇幼保健院(龙江院区),鼓楼区,江东北路368号,118.740977,32.059883,医疗保健服务;专科医院;专科医院,医院
江苏省中医院本部院区,秦淮区,汉中路155号(上海路地铁站3号口步行50米),118.773653,32.040941,医疗保健服务;综合医院;三级甲等医院,医院
南京市妇幼保健院丁家庄院区,栖霞区,华银路与万康路交叉口,118.854639,32.111299,医疗保健服务;专科医院;专科医院,医院
泰康仙林鼓楼医院,栖霞区,仙林街道灵山北路188号,118.936142,32.094878,医疗保健服务;综合医院;综合医院,医院
东部战区总医院,玄武区,黄埔路3号,118.80911,32.041725,医疗保健服务;综合医院;三级甲等医院,医院
南京鼓楼医院(江北院区),浦口区,浦珠中路359号,118.669315,32.092656,医疗保健服务;综合医院;三级甲等医院,医院
南京市第一医院本部,秦淮区,长乐路68号,118.784263,32.017145,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学附属儿童医院广州路院区,鼓楼区,广州路72号,118.779413,32.050885,医疗保健服务;综合医院;三级甲等医院,医院
东南大学附属中大医院,鼓楼区,丁家桥87号,118.77622,32.072367,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学附属眼科医院,鼓楼区,汉中路138号(上海路地铁站2号口步行90米),118.774999,32.043111,医疗保健服务;专科医院;眼科医院,医院
南京同仁医院,江宁区,吉印大道2007号,118.827136,31.896539,医疗保健服务;综合医院;综合医院,医院
南京脑科医院,鼓楼区,广州路264号,118.768416,32.050252,医疗保健服务;专科医院;脑科医院,医院
江苏省肿瘤医院,玄武区,百子亭42号(玄武门地铁站出入口步行420米),118.786316,32.068571,医疗保健服务;专科医院;肿瘤医院,医院
南京市浦口人民医院,浦口区,上河街166号,118.6363,32.048946,医疗保健服务;综合医院;综合医院,医院
南京市第二医院(钟阜院区),鼓楼区,钟阜路1-1号,118.768137,32.088873,医疗保健服务;综合医院;三级甲等医院,医院
江苏省中医院(紫东院区),栖霞区,仙林街道仙林大道200号,118.986472,32.116932,医疗保健服务;综合医院;综合医院,医院
南京市第一医院(河西院区),建邺区,应天大街919号,118.734182,32.020928,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学第二附属医院(姜家园院区),鼓楼区,姜家园121号,118.744998,32.080323,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学附属逸夫医院,江宁区,淳化街道龙眠大道109号,118.894579,31.932123,医疗保健服务;综合医院;综合医院,医院
南京鼓楼美莱医疗美容门诊部,鼓楼区,广州路188号苏宁环球大厦,118.774966,32.051027,医疗保健服务;专科医院;整形美容,医院
南京市江宁医院湖山路院区,江宁区,湖山路169号,118.869433,31.955725,医疗保健服务;综合医院;三级甲等医院,医院
南京康贝佳口腔医院(种植牙总院),鼓楼区,新模范马路46号,118.772223,32.077819,医疗保健服务;专科医院;口腔医院,医院
茀莱堡口腔医院(建邺院区),建邺区,汉中门大街77号,118.755885,32.037502,医疗保健服务;专科医院;口腔医院,医院
江苏省中西医结合医院,栖霞区,红山路十字街100号,118.810935,32.099502,医疗保健服务;综合医院;三级甲等医院,医院
东部战区总医院秦淮医疗区,秦淮区,常府街三十四标34号(常府街地铁站3号口步行220米),118.794697,32.034707,医疗保健服务;综合医院;三级甲等医院,医院
江苏省人民医院(本部)门诊部,鼓楼区,广州路300号江苏省人民医院(本部),118.76441,32.049363,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学友谊整形外科医院,鼓楼区,汉中路146号,118.773872,32.042989,医疗保健服务;专科医院;整形美容|医疗保健服务;综合医院;三级甲等医院,医院
南京鼓楼医院(南部院区),溧水区,群力大道88号,119.017211,31.721119,医疗保健服务;综合医院;综合医院,医院
南京市江宁医院(鼓山路院区),江宁区,东山街道鼓山路168号,118.849162,31.95074,医疗保健服务;综合医院;三级甲等医院,医院
南京爱尔眼科医院,秦淮区,仙鹤街100号,118.775525,32.024532,医疗保健服务;专科医院;眼科医院,医院
南京家和腋臭医院,秦淮区,光华路街道海福巷1号综合楼,118.833453,32.019618,医疗保健服务;专科医院;专科医院,医院
东南大学附属中大医院江北院区,六合区,健民路211号,118.747765,32.220625,医疗保健服务;综合医院;三级甲等医院,医院
南京市中西医结合医院,玄武区,孝陵卫街179号(近中山门大街),118.857865,32.03426,医疗保健服务;综合医院;三级甲等医院,医院
南京康美美容医院,秦淮区,洪武路288号,118.786343,32.032537,医疗保健服务;专科医院;整形美容|医疗保健服务;综合医院;综合医院,医院
江苏省省级机关医院,鼓楼区,江苏路65号,118.767774,32.065912,医疗保健服务;综合医院;综合医院,医院
德牙联合口腔医院(二级口腔医院),建邺区,雨润大街88号1号楼1层西侧2层3层4层,118.721234,31.985494,医疗保健服务;专科医院;口腔医院,医院
南京医科大学第二附属医院(萨家湾院区),鼓楼区,挹江门街道中山北路309号,118.756361,32.0835,医疗保健服务;综合医院;三级甲等医院,医院
南京医科大学第四附属医院京新院区,浦口区,沿江街道南浦路298号,118.740783,32.139204,医疗保健服务;综合医院;综合医院,医院
江苏省第二中医院,建邺区,南湖路23号,118.755261,32.022574,医疗保健服务;综合医院;三级甲等医院,医院
爱康国宾江宁分院,江宁区,秣陵街道双龙大道1118号,118.819616,31.950459,医疗保健服务;综合医院;综合医院,医院
南京鼓楼医院(北院),鼓楼区,中山北路53号,118.777905,32.062771,医疗保健服务;综合医院;三级甲等医院,医院
牙博士口腔(南京新街口机构),秦淮区,洪武路198号城开大厦,118.786595,32.034121,医疗保健服务;专科医院;口腔医院,医院
南京江北医院,六合区,葛关路552号,118.757543,32.234996,医疗保健服务;综合医院;卫生院,医院
南京邦德中医医院,玄武区,梅园新村街道内环东线85号,118.806016,32.047784,医疗保健服务;专科医院;专科医院,医院
南京医科大学第二附属医院(迈皋桥院区),栖霞区,和燕路290号(迈皋桥地铁站入口步行320米),118.807581,32.104556,医疗保健服务;综合医院;三级甲等医院,医院
南京梅山医院,雨花台区,中华门外新建雄风路505号,118.627164,31.896842,医疗保健服务;综合医院;综合医院,医院
南京市溧水区人民医院,溧水区,南京市溧水区永阳镇崇文路86号溧水区人民医院,119.034284,31.631114,医疗保健服务;综合医院;综合医院,医院
南京鼓楼医院门诊,鼓楼区,中山路321号南京大学医学院附属鼓楼医院内,118.782856,32.054762,医疗保健服务;综合医院;三级甲等医院,医院
南京皮肤病医院(药研所),鼓楼区,马家街26号药物研究所6楼601室-612室,118.781932,32.074053,医疗保健服务;专科医院;专科医院,医院
南京华肤皮肤病研究所,鼓楼区,热河南路148号,118.740561,32.075544,医疗保健服务;综合医院;综合医院,医院
南京市高淳人民医院,高淳区,茅山路53号,118.939775,31.36341,医疗保健服务;综合医院;三级甲等医院,医院
南京市栖霞区医院,栖霞区,尧佳路28号,118.880793,32.11767,医疗保健服务;综合医院;综合医院,医院
南京市江宁中医院,江宁区,东山街道天印大道657号,118.859178,31.965187,医疗保健服务;综合医院;综合医院,医院
固德口腔医院 国家二级口腔医院,浦口区,大桥北路9号16栋旭日华庭金棕榈弘阳大厦1单元401室,118.728403,32.131448,医疗保健服务;专科医院;口腔医院,医院
南京华韩奇致美容医院,建邺区,江东中路126号1-4层东南侧,118.738718,32.02756,医疗保健服务;专科医院;整形美容,医院
南京市六合区人民医院,六合区,健康巷9号(凤凰山公园地铁站3号口步行290米),118.845679,32.343809,医疗保健服务;综合医院;综合医院,医院
牙博士口腔(江宁总院),江宁区,秣陵街道天元中路229号21世纪现代城国际公寓55号F3-1,118.827329,31.927391,医疗保健服务;专科医院;口腔医院,医院
东部战区总医院门诊部,玄武区,中山东路305号,118.808021,32.040747,医疗保健服务;综合医院;三级甲等医院,医院
东部战区空军医院,秦淮区,马路街1号,118.798147,32.029392,医疗保健服务;综合医院;三级甲等医院,医院
南京太乙堂中医医院,秦淮区,瑞金路27号,118.814074,32.032095,医疗保健服务;综合医院;综合医院,医院
美奥口腔矫正种植中心(南京鼓楼店),鼓楼区,云南北路48号,118.780051,32.067365,医疗保健服务;专科医院;口腔医院,医院
牙博士口腔(南京河西机构),建邺区,兴隆大街155号1幢102-103室,118.731178,32.015804,医疗保健服务;专科医院;口腔医院,医院
南京东南眼科医院,秦淮区,苜蓿园大街36号,118.831922,32.036148,医疗保健服务;专科医院;眼科医院,医院
江苏省人民医院生殖中心,鼓楼区,永庆村16号,118.773864,32.045698,医疗保健服务;专科医院;专科医院,医院
南京天佑儿童医院,鼓楼区,中山北路307-1号,118.756823,32.082046,医疗保健服务;专科医院;专科医院,医院
南京市第二医院汤山分院,江宁区,汤山街道康复路1号,118.989867,32.04708,医疗保健服务;综合医院;综合医院,医院
江苏施尔美整形美容医院,秦淮区,太平南路389号101、201、301室,118.791359,32.029384,医疗保健服务;专科医院;整形美容,医院
南京市胸科医院,鼓楼区,广州路215号(近拉萨路),118.768893,32.047093,医疗保健服务;专科医院;胸科医院,医院
南京市浦口区中医院,浦口区,凤凰大街与文昌路交叉口正南方向34米左右,118.628679,32.064543,医疗保健服务;综合医院;综合医院,医院
爱康国宾浦口大道新城总部大厦分院,浦口区,江浦街道浦口大道1号新城总部大厦305-310,118.648275,32.065316,医疗保健服务;综合医院;综合医院,医院
南京肤康皮肤病研究所,秦淮区,建康路281号(夫子庙地铁站3号口步行230米),118.793362,32.023828,医疗保健服务;专科医院;专科医院,医院
雍禾植发(南京分院),秦淮区,白下路9号,118.785062,32.02959,医疗保健服务;专科医院;整形美容,医院
南京华厦白癜风,玄武区,红山路175号1-4室,118.808874,32.092864,医疗保健服务;专科医院;专科医院,医院
江苏省中医院北院,秦淮区,汉中路155号(上海路地铁站3号口步行50米),118.774758,32.041784,医疗保健服务;综合医院;三级甲等医院,医院
江苏省中医院南院,秦淮区,石鼓路187号(上海路地铁站5号口步行170米),118.772764,32.040252,医疗保健服务;综合医院;三级甲等医院,医院
金铂利口腔集团(南京总院),秦淮区,建康路277号(地铁3号线夫子庙站3号出口东行100米),118.793114,32.024114,医疗保健服务;专科医院;口腔医院,医院
南京博韵口腔医院(江宁区总院),江宁区,东山街道上元大街238号,118.831889,31.951896,医疗保健服务;专科医院;口腔医院,医院
泰康口腔(南京建邺店),建邺区,江中东路305号7栋,118.726025,32.00008,医疗保健服务;专科医院;口腔医院,医院
南京丁义山肛肠专科医院,秦淮区,光华路12号,118.820762,32.019046,医疗保健服务;专科医院;专科医院,医院
江苏省中医院北院门诊部,秦淮区,汉中路155号江苏省中医院内(上海路地铁站3号口旁),118.775111,32.041989,医疗保健服务;综合医院;三级甲等医院,医院
南京泰康仙林鼓楼医院二期,栖霞区,灵山北路188号,118.936497,32.091364,医疗保健服务;综合医院;三级甲等医院,医院
南京江宁五洲医院-妇科医院,江宁区,上元大街887号,118.857877,31.958271,医疗保健服务;专科医院;专科医院,医院
南京玄武艺星医疗美容门诊部,玄武区,洪武北路16号(新街口地铁站24号口步行380米),118.789392,32.042032,医疗保健服务;专科医院;整形美容,医院
南京贝鹤雅康口腔医院,栖霞区,迈皋桥街道和燕路295号地下室部分一层二层,118.810744,32.106665,医疗保健服务;专科医院;口腔医院,医院
南京市红十字医院,秦淮区,洪武路街道白下路242号南京市红十字医院,118.791933,32.027425,医疗保健服务;综合医院;综合医院,医院
江苏省中医院(江北院区),六合区,龙池街道新棠路181号,118.839018,32.316472,医疗保健服务;综合医院;综合医院,医院
南京市溧水区中医院,溧水区,永阳镇交通东路79号原博士牛公司院内,119.052603,31.661626,医疗保健服务;综合医院;综合医院,医院
中国医学科学院皮肤病医院门诊楼,玄武区,蒋王庙街12号中国医学科学院皮肤病医院,118.827282,32.08051,医疗保健服务;专科医院;专科医院,医院
南京连天美美容医院,玄武区,北京东路8-1号1-4层,118.787526,32.057507,医疗保健服务;专科医院;整形美容,医院
牙博士口腔(南京江北机构),浦口区,大桥北路20号江畔明珠广场16幢102室,118.732448,32.12803,医疗保健服务;专科医院;口腔医院,医院
江宁区东山街道社区卫生服务中心,江宁区,东山街道宏运大道1928号,118.825439,31.963482,医疗保健服务;综合医院;卫生院,医院
卡瓦口腔,江宁区,东新南路86号汇福佳苑3幢4幢二楼(胡桃里酒馆对面),118.852475,31.953475,医疗保健服务;专科医院;口腔医院,医院
南京江宁苏王美容医院,江宁区,东山街道金箔路468号江宁女人街E区,118.851072,31.949983,医疗保健服务;专科医院;整形美容,医院
南京鼓楼医院集团高新医院,浦口区,宁六路69号,118.717136,32.172029,医疗保健服务;综合医院;综合医院,医院
南京维多利亚皮肤.胎记研究院,秦淮区,虎踞南路100-102号建宇大厦,118.769281,32.030966,医疗保健服务;专科医院;整形美容,医院
南京雨花口腔医院,雨花台区,雨花西路3号(中华门地铁站3号口步行480米),118.778333,32.00443,医疗保健服务;专科医院;口腔医院,医院
南京儿童医院河西院区门诊,建邺区,江东南路8号南京儿童医院河西院区,118.707313,31.982232,医疗保健服务;专科医院;专科医院,医院
南京市中心医院,玄武区,成贤街116号(近东南大学),118.796494,32.055713,医疗保健服务;综合医院;综合医院,医院
韩辰美容医院,秦淮区,洪武路396号(张府园地铁站2号口步行300米),118.786023,32.029537,医疗保健服务;专科医院;整形美容,医院
铁心桥社区卫生服务中心,雨花台区,铁心桥大道18号(铁心桥地铁站3号口步行120米),118.7617,31.962685,医疗保健服务;综合医院;卫生院,医院
南京苏朗美容医院,建邺区,庐山路158号,118.727721,31.999161,医疗保健服务;专科医院;整形美容,医院
南京鼓楼医院集团享悦医院,江宁区,科学园营宁路58号距地铁一号线竹山路站800米,118.848189,31.930532,医疗保健服务;综合医院;综合医院,医院
南京市第一医院南院,雨花台区,共青团路32号,118.774504,32.001549,医疗保健服务;综合医院;三级甲等医院,医院
蓝鲟口腔(江宁店),江宁区,东山街道新亭路龙湾新寓B06幢东半侧门面,118.844189,31.942304,医疗保健服务;专科医院;口腔医院,医院
美贝尔美容医院,鼓楼区,石头城117号丽晶国际1-3层,118.747809,32.067572,医疗保健服务;专科医院;整形美容,医院
南京长江医院,鼓楼区,新门口18号,118.768352,32.086994,医疗保健服务;专科医院;专科医院,医院
南京米兰柏羽华美美容医院,秦淮区,龙蟠中路218号科技大厦裙楼1至二楼,118.803936,32.035215,医疗保健服务;专科医院;整形美容,医院
南京世纪现代妇产医院,江宁区,天元东路358-1号,118.872001,31.938589,医疗保健服务;专科医院;妇科医院,医院
南京万厚中医医院,鼓楼区,大桥南路29号,118.754542,32.091636,医疗保健服务;专科医院;传染病医院|医疗保健服务;综合医院;综合医院,医院
南京浦口德福口腔医院,浦口区,海都路6号1栋401室,118.639078,32.06816,医疗保健服务;专科医院;口腔医院,医院
汉中门国医堂,鼓楼区,汉中路282号(汉中门地铁站1号口步行170米),118.767344,32.043322,医疗保健服务;综合医院;综合医院,医院
南京天佑儿童医院(抽动症诊疗中心),鼓楼区,挹江门街道中山北路307-1号,118.756956,32.082157,医疗保健服务;专科医院;专科医院,医院
南京市秦淮区中医医院,秦淮区,中华路512号,118.782156,32.015582,医疗保健服务;综合医院;综合医院,医院
泰康大健康体验中心,栖霞区,灵山北路188号,118.934749,32.094343,医疗保健服务;综合医院;综合医院,医院
南京江宁胜泰医院,江宁区,庄排路81号,118.827669,31.937568,医疗保健服务;综合医院;综合医院,医院
南京六城口腔医院,六合区,雄州街道棠景路9号,118.842091,32.335077,医疗保健服务;专科医院;口腔医院,医院
南京扬子医院,六合区,化工园区平顶山路21号,118.771358,32.239183,医疗保健服务;综合医院;综合医院,医院
南京肛泰中医医院,建邺区,黄山路2号,118.748293,32.01604,医疗保健服务;专科医院;专科医院,医院
南京市口腔医院第一门诊部,秦淮区,大光路139号(近环北市场),118.802794,32.025713,医疗保健服务;专科医院;口腔医院,医院
南京儿童医院河西院区急诊,建邺区,江东南路8号南京儿童医院河西院区,118.706063,31.98228,医疗保健服务;专科医院;专科医院,医院
江苏省中医院江宁院区,江宁区,谷里街道牛首大道99号,118.70915,31.876767,医疗保健服务;综合医院;三级甲等医院,医院
东部战区空军医院急诊,秦淮区,马路街1号,118.79793,32.028696,医疗保健服务;综合医院;三级甲等医院,医院
南京一民医院,江宁区,上高路86号,118.877989,31.9745,医疗保健服务;综合医院;综合医院,医院
南京天印山医院,江宁区,淳化街道吉印大道3789号,118.874735,31.881949,医疗保健服务;综合医院;综合医院,医院
仁品耳鼻喉专科医院,秦淮区,中华路528号,118.781945,32.015003,医疗保健服务;专科医院;耳鼻喉医院,医院
秣陵街道百家湖社区卫生服务中心,江宁区,殷巷镇秣陵街道殷巷新寓六区前庄路266号,118.83918,31.907875,医疗保健服务;综合医院;卫生院,医院
南京远大中医院,建邺区,水西门大街85-1号,118.764688,32.03088,医疗保健服务;专科医院;专科医院,医院
南京明州康复医院,栖霞区,尧化新村102号,118.870239,32.113357,医疗保健服务;综合医院;综合医院,医院
南京脑科医院门诊部,鼓楼区,广州路264号南京脑科医院内,118.769105,32.049847,医疗保健服务;专科医院;脑科医院,医院
南京大学医学院附属南京国际医院,建邺区,宜悦街16号,118.708299,31.983606,医疗保健服务;综合医院;综合医院,医院
明基医院门诊,建邺区,河西大街71号明基医院内,118.730568,31.988304,医疗保健服务;综合医院;三级甲等医院,医院
仙林社区卫生服务中心,栖霞区,文枢东路1号,118.90849,32.096467,医疗保健服务;综合医院;卫生院,医院
东部战区空军医院门诊,秦淮区,马路街1号,118.797696,32.028842,医疗保健服务;综合医院;三级甲等医院,医院
蓝鲟口腔(江北店),浦口区,浦东花园F区103室,118.714128,32.14623,医疗保健服务;专科医院;口腔医院,医院
